id,descripcion,estado,prioridad,plazo,createdAt
1,"Confección espumas alta densidad 15cm, 46 unidades",Prioritaria,normal,2026-04-28T00:00:00.000Z,2026-05-13T13:51:30.885Z
3,Bases cama matrimonial tono nogal x8,Prioritaria,normal,2026-04-27T00:00:00.000Z,2026-05-13T13:51:30.885Z
4,Espumas tapizado sillas oficina x120,En proceso,normal,2026-04-25T00:00:00.000Z,2026-05-13T13:51:30.885Z
4941,OT #14927 — TIEMPO DE ENTREGA 15 DIAS HABILES -,Pendiente,normal,,2025-08-25T22:26:20.000Z
5078,OT #15175 — No hay,Pendiente,normal,,2025-10-22T18:32:16.000Z
5082,OT #15186 — No hay,Pendiente,normal,,2025-10-24T13:50:01.000Z
5113,OT #15250 — No hay,Pendiente,normal,,2025-11-06T16:31:17.000Z
5132,OT #15302 — No hay,Pendiente,normal,,2025-11-14T19:58:11.000Z
5188,OT #15410 — No hay,Pendiente,normal,,2025-12-04T14:39:25.000Z
5193,OT #15362 — No hay,Pendiente,normal,,2025-12-04T17:41:42.000Z
5248,OT #15525 — No hay,Pendiente,normal,,2025-12-29T16:48:36.000Z
5255,OT #15540 — No hay,Pendiente,normal,2026-01-05T00:00:00.000Z,2025-12-30T20:48:06.000Z
5268,OT #15572 — No hay,Pendiente,normal,2026-01-15T00:00:00.000Z,2026-01-13T16:08:04.000Z
5286,OT #15614 — TIEMPO DE ENTREGA 10 DIAS HABILES-,Terminada,normal,,2026-02-02T11:27:59.000Z
5354,OT #15801 — No hay,Terminada,normal,2026-03-18T00:00:00.000Z,2026-03-17T13:37:44.000Z
5385,OT #15929 — No hay,Terminada,normal,2026-04-10T00:00:00.000Z,2026-04-09T11:56:21.000Z
5401,OT #15932 — No hay,Terminada,normal,2026-04-13T00:00:00.000Z,2026-04-09T18:25:52.000Z
5431,OT #16018 — No hay,Terminada,normal,2026-04-23T00:00:00.000Z,2026-04-22T20:56:11.000Z
